Metallic glasses (at. %),Shear Modulus (GPa),Bulk Modulus (GPa)
Zr33Ti30Cu7.5Be27.5Al2,36.7,97.2
Zr33.5Ti24Cu15Be27.5,36.8,113
Cu60Zr20Hf10Ti10,36.9,128.2
Zr45.4Ti9.6Cu10.15Ni8.6Be26.25,37,111.9
Zr46.75Ti8.25Ni10Cu7.5Be27.5,37.2,111.9
Cu50.4Ni5.6Ti31Zr13,37.4,126.5
Zr53Ni23.5Al23.5,37.4,115.1
Pd64Fe16P20,37.9,169.8
Ni64Pd16P20,37.9,169.8
Zr41Ti14Cu12.5Be22.5Fe10,38.7,109.8
Zr50Al10Ni10Cu15Be15,38.8,110.9
Ti45Zr20Be30Cr5,39.2,114.5
Ni44Zr27.6Ti18.4Al10,39.5,130.4
Zr41Ti14Cu12.5Ni9Be22.5C1,39.5,107.3
Ni40Cu4Zr27.6Ti18.4Al10,39.6,132.3
Zr30Ti30Cu7.5Be27.5Al5,39.7,98.3
Ni40Cu2Pd2Zr27.6Ti18.4Al10,39.8,131.2
Ni45Ti20Zr25Al10,40.2,
(Zr0.41Ti0.14Cu0.125Ni0.1Be0.225)98Y2,40.2,108.7
(Zr0.4675Ti0.0825Cu0.075Ni0.1Be0.275)95Al5,40.5,115.8
Hf62Ni25Al13,41.3,128.8
Zr34Ti15Cu10Ni11Be28Y2,41.7,103.7
Hf49Ta2Cu27.25Ni9.75Al12,42.4,127.6
Cu49Hf42Al9,42.7,128.9
Hf46Nb2Cu29.25Ni9.75Al13,43.1,130.3
Hf48Cu29.25Ni9.75Al13,43.1,128.9
Zr25Ti30Cu7.5Be27.5Al10,43.7,101.7
(Zr0.4675Ti0.0825Cu0.075Ni0.1Be0.275)88Al12,44.1,112.6
(Zr0.4675Ti0.0825Cu0.075Ni0.1Be0.275)90Al10,44.5,113.8
Ni40Cu5Zr28.5Ti16.5Al10,45.2,140.2
Ni59Zr19Ti11Nb6Si3Sn2,47.5,159.2
(Zr0.4675Ti0.0825Cu0.075Ni0.1Be0.275)85Al15,48.4,116.9
Ni56Co3Nb28Hf8Sn5,52.9,173.8
Ni60Sn6(Nb0.8Ta0.2)34,59.4,189
Fe80P11C9,61,148
Fe35.5Ni35.5Nb6B23,64.9,203.8
Fe63Cr3Mo10P12C7B5,65.2,174
Fe63Cr3Mo10P12C10B2,65.3,178
Fe64Cr3Mo10P10C10B3,66,174
Fe66Mo10P12C10B2,66.1,176
Ni60Nb35Sn5,66.3,183
Fe66Cr3Mo10P8C10B3,66.5,172
Fe65Cr2Mo9P10C8B6,66.8,174
Fe68Cr3Mo10P6C10B3,67.6,172
(Fe0.9Co0.1)64Mo14C15B6Er1,73,177
(Fe0.9Co0.1)64.25Mo14C15B6Er0.75,73,176
(Fe0.9Co0.1)64.5Mo14C15B6Er0.5,73,175
(Fe0.9Co0.1)64.75Mo14C15B6Er0.25,73,175
(Fe0.9Co0.1)64.875Mo14C15B6Er0.125,73,178
Fe65Mo14C15B6,73,195
Fe71Nb6B23,73.4,182.6
Fe53.25Ni17.75Nb6B23,73.4,186.5
(Fe0.9Co0.1)58.5Cr6Mo14C19B2Er0.5,74.4,188
(Fe0.9Co0.1)58.5Cr6Mo14C18B3Er0.5,75.3,187
Fe50Mn10Mo14Cr4C16B6,76.1,180
(Fe0.9Co0.1)58.5Cr6Mo14C15B6Er0.5,76.2,190
(Fe0.6Cr0.1Mo0.09C0.13B0.06Er0.02)98In2,76.3,142.2
Fe60.5Cr4Mo14C15B6Er0.5,76.6,184
(Fe0.6Cr0.1Mo0.09C0.13B0.06Er0.02)95Ni5,76.6,166.6
Fe59Cr6Mo14C15B6,77.4,188
Fe63Mo14C15B6Er2,77.8,178
(Fe0.6Cr0.1Mo0.09C0.13B0.06Y0.02)98V2,78.1,172.7
(Fe0.6Cr0.1Mo0.09C0.13B0.06Er0.02)95Be5,78.8,167.9
Fe49Cr15Mo14C19B2Er1,78.9,207
Fe60Cr10Mo9C13B6Er2,79.2,169.1
(Fe0.6Cr0.1Mo0.09C0.13B0.06Er0.02)98Be2,79.2,167.2
(Fe0.6Cr0.1Mo0.09C0.13B0.06Er0.02)98Pb2,79.6,170.7
Fe49Cr15Mo14C18B3Er1,80.2,200
Fe49Cr15Mo14C17B4Er1,80.8,200
Fe48Cr15Mo14Er2C15B6,81,195
Fe49Cr15Mo14C15B6Er1,81.9,200
Fe50Cr15Mo14C15B6,82,204
Fe49Cr15Mo14C13B8Er1,82.5,201
Fe41Co7Cr15Mo14C15B6Y2,84.1,192.5
Fe64Cr10Mo9C15Er2,88.2,166.8
Co58Ta7B35,91.5,215.7
Co56Ta9B35,93.8,224.1
